Text,bundles,n_bundles
"playstation 4 pro с двумя геймпадами, всеми проводами и играми god of war ( две последние части ), tekken , mortal kombat , worms , far cry + пара других.
приставка в отличном состоянии , проходила чистку .

750 лари за все.","[{""Title"": ""PlayStation 4 Pro \u0441 \u0434\u0432\u0443\u043c\u044f \u0433\u0435\u0439\u043c\u043f\u0430\u0434\u0430\u043c\u0438 \u0438 \u0438\u0433\u0440\u0430\u043c\u0438"", ""Price"": ""750"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"Продам, 8500 Без матраса 200х160","[{""Title"": ""\u041a\u0440\u043e\u0432\u0430\u0442\u044c \u0440\u0430\u0437\u043c\u0435\u0440 200\u0445160 \u0431\u0435\u0437 \u043c\u0430\u0442\u0440\u0430\u0441\u0430"", ""Price"": ""8500"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
"Женская куртка, р.42-44
Новая, не носили, 1000р","[{""Title"": ""\u0416\u0435\u043d\u0441\u043a\u0430\u044f \u043a\u0443\u0440\u0442\u043a\u0430, \u0440.42-44"", ""Price"": ""1000"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
"зарядка китайская magsafe в коробке, выход на type c. как зарядка так себе, как подставка для айфона 12-14 - top. на фото 13мини. есть коробка

15 лари

есть другие товары, всё находится в глдани, пишите в лс","[{""Title"": ""\u0437\u0430\u0440\u044f\u0434\u043a\u0430 \u043a\u0438\u0442\u0430\u0439\u0441\u043a\u0430\u044f magsafe \u0432 \u043a\u043e\u0440\u043e\u0431\u043a\u0435, \u0432\u044b\u0445\u043e\u0434 \u043d\u0430 type c"", ""Price"": ""15"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
По 1200р каждый пишите или обмен,[],0
"Nike Blazer Low x Sacai 
Состояние: Новые
Размеры: 9US(27.5см); 10US(28cm)
Цена: 9 990₽
Новосибирск/доставка.
#барахолка #барахолка@networksales #продам #объявления #товары","[{""Title"": ""Nike Blazer Low x Sacai \u043d\u043e\u0432\u044b\u0435"", ""Price"": ""9990"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
ventrpl нарушил правила чата и не сможет писать до 24.08.2023 21:24:51. правила чатов,[],0
"Снова в наличии ураааа  🌹🌹
  Комплект 👇   ✅ 💣💥
 Одеяло  с Подушка и Простыня.📌
Ткань: Сатин 👍👍
Размер:Евро 💥💣💥💣
Одеяло: 200*220см 
Простыня: 200*230см 
Подушки: 50*70 2 штук

🙉✅ цена 1400 рублей 📌

С нами не только приятно работать, но и можно хорошо заработать 💝

Адрес Рынок Садавод ТЦ корпус А этаж 2 павильон  54

📌Для брони заранее👇напишите

🔱WhatsApp: 8 9267230720
Подробнее на https://vk.com/wall488363770_23949","[{""Title"": ""\u041a\u043e\u043c\u043f\u043b\u0435\u043a\u0442 \u043f\u043e\u0441\u0442\u0435\u043b\u044c\u043d\u043e\u0433\u043e \u0431\u0435\u043b\u044c\u044f: \u041e\u0434\u0435\u044f\u043b\u043e, \u041f\u043e\u0434\u0443\u0448\u043a\u0430 (2 \u0448\u0442\u0443\u043a\u0438) \u0438 \u041f\u0440\u043e\u0441\u0442\u044b\u043d\u044f"", ""Price"": ""1400"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
продаю кухню б/у в нормальном состоянии с мойкой и двумя смесителями. столешница почти новая. цена €200. самовывоз. пафос. около молла. л.с.,"[{""Title"": ""\u041a\u0443\u0445\u043d\u044f \u0431/\u0443 \u0432 \u043d\u043e\u0440\u043c\u0430\u043b\u044c\u043d\u043e\u043c \u0441\u043e\u0441\u0442\u043e\u044f\u043d\u0438\u0438 \u0441 \u043c\u043e\u0439\u043a\u043e\u0439 \u0438 \u0434\u0432\u0443\u043c\u044f \u0441\u043c\u0435\u0441\u0438\u0442\u0435\u043b\u044f\u043c\u0438, \u0441\u0442\u043e\u043b\u0435\u0448\u043d\u0438\u0446\u0430 \u043f\u043e\u0447\u0442\u0438 \u043d\u043e\u0432\u0430\u044f"", ""Price"": ""200"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"продам штатив для фотоаппарата, универсальный
фирма - jmary
155см (в сложенном состоянии 60см)
крепкий, надежный, как новый
цена - 80 лари","[{""Title"": ""\u0448\u0442\u0430\u0442\u0438\u0432 \u0434\u043b\u044f \u0444\u043e\u0442\u043e\u0430\u043f\u043f\u0430\u0440\u0430\u0442\u0430, \u0443\u043d\u0438\u0432\u0435\u0440\u0441\u0430\u043b\u044c\u043d\u044b\u0439, jmary, 155\u0441\u043c"", ""Price"": ""80"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"платье new look 
только примеряла, никуда в нем не ходила 
размер на фото
цена 70 лари
возможен торг","[{""Title"": ""\u043f\u043b\u0430\u0442\u044c\u0435 new look"", ""Price"": ""70"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"‼️37 размер, новые, 40 лари‼️","[{""Title"": ""37 \u0440\u0430\u0437\u043c\u0435\u0440, \u043d\u043e\u0432\u044b\u0435"", ""Price"": ""40"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"коврик/ковёр, габариты 100×57 см, очень мягкий, можно стирать в машинке, купили 2 мес назад, но особо не использовали, 30 лари.","[{""Title"": ""\u043a\u043e\u0432\u0440\u0438\u043a 100\u00d757 \u0441\u043c"", ""Price"": ""30"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"продам ролики k2, хорошие подшипники, колеса 80мм, р 42.5. в хорошем состоянии. 30 евро, лимассол, овал","[{""Title"": ""\u0440\u043e\u043b\u0438\u043a\u0438 K2, \u0440\u0430\u0437\u043c\u0435\u0440 42.5"", ""Price"": ""30"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"Распродажа
Пледы  флисовый
Размер 180 на 200 
Цена : 250р-  Цвета без выбора
Цена : 300р - Цвета с выбором 
Арт: 2Д-54 корпус А
https://vk.com/ali_2d_54","[{""Title"": ""\u041f\u043b\u0435\u0434 \u0444\u043b\u0438\u0441\u043e\u0432\u044b\u0439, \u0440\u0430\u0437\u043c\u0435\u0440 180 \u043d\u0430 200, \u0446\u0432\u0435\u0442\u0430 \u0441 \u0432\u044b\u0431\u043e\u0440\u043e\u043c"", ""Price"": ""300"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041f\u043b\u0435\u0434 \u0444\u043b\u0438\u0441\u043e\u0432\u044b\u0439, \u0440\u0430\u0437\u043c\u0435\u0440 180 \u043d\u0430 200, \u0446\u0432\u0435\u0442\u0430 \u0431\u0435\u0437 \u0432\u044b\u0431\u043e\u0440\u0430"", ""Price"": ""250"", ""Currency"": ""RUB"", ""Count"": ""1""}]",2
"Кофта женская размер s/m. Довольно тонкая. - 250р 
Забирать в единичке.","[{""Title"": ""\u041a\u043e\u0444\u0442\u0430 \u0436\u0435\u043d\u0441\u043a\u0430\u044f \u0440\u0430\u0437\u043c\u0435\u0440 s/m, \u0442\u043e\u043d\u043a\u0430\u044f"", ""Price"": ""250"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
"📱 продам iphone 14 pro max 512gb deep purple (айфон 14 про макс фиолетовый)

🔹 в отличном состоянии, с первого дня в чехле и со стеклом
🔹 состояние аккумулятора 96%
🔹 номер модели mq8g3za/a, версия с двумя физическими sim
🔹 оригинальный кабель и коробка в комплекте

🎁 бонусом отдам новое защитное стекло и оригинальный кожаный фиолетовый чехол

💵 цена 3000 gel, принимаю наличные или usdt

📍 локация: у метро марджанишвили","[{""Title"": ""iphone 14 pro max 512gb deep purple \u0441 \u0430\u043a\u0441\u0435\u0441\u0441\u0443\u0430\u0440\u0430\u043c\u0438"", ""Price"": ""3000"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
новый карбоновый чехол pitaka для samsung s 10 plus. сделан из карбона. стоимость 40€.,"[{""Title"": ""\u043a\u0430\u0440\u0431\u043e\u043d\u043e\u0432\u044b\u0439 \u0447\u0435\u0445\u043e\u043b pitaka \u0434\u043b\u044f samsung s 10 plus"", ""Price"": ""40"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"#БНИ_ПродамБУ_Санкт_Петербург
#БНИ_Авито 
#БНИ_CDEK 
#БНИ_Боксберри
#БНИ_id2006931

Продам следующие игры:
1. Маrvеl Zоmbiеs. Неrоеs' Rеsistаnсе. Отличная небольшая коробка с зомбицидом и супергероями. Удобно знакомить с игрой, брать с собой. Легко поместиться в рюкзак. Карты черт, героев, прохожих переведены. Все карты в протекторах. Все фигурки покрашены + сделаны 3 доп. героя: Дэдпул, Стрэндж и Железный человек (карточки на русском и фигурки того же масштаба). Также сделаны доп. прохожие (карточки + картонные стендики). Также напечатаны русские правила и отдельно переведены некоторые миссии. На коробке сохранил пленку. Есть повреждение угла коробки только(( >8000 рублей< 
2. Шарлатаны из Кведлинбурга. Алхимики. Дополнение к отличной игре Шарлатаны. Комплект полный. ВНИМАНИЕ: жетоны для котла покрыты яхтенным лаком! >1950 рублей<
3. Каркассон. Королевский подарок и дополнения: Бродячий цирк, Аббатство и мэр, Башня. На всех коробках сохранена пленка. Все элементы разложены по своим коробкам. Все на месте. >4200 рублей<
4. Палeо cо всеми дoполнeниями: Hoвoe нaчало, Ужасные птицы и Oбpяд пoсвящeния. Bсe в идeальнoм соcтoянии, игpали немногo paз. Нa бoльших кoрoбкax соxpанена пленка. Вся игрa в кoрoбке из-пoд бaзы умeщаeтся. >4500 рублeй<

При самовывозе скидка!
Показать ещё","[{""Title"": ""\u0418\u0433\u0440\u0430 \u041a\u0430\u0440\u043a\u0430\u0441\u0441\u043e\u043d: \u041a\u043e\u0440\u043e\u043b\u0435\u0432\u0441\u043a\u0438\u0439 \u043f\u043e\u0434\u0430\u0440\u043e\u043a \u0438 \u0434\u043e\u043f\u043e\u043b\u043d\u0435\u043d\u0438\u044f (\u0411\u0440\u043e\u0434\u044f\u0447\u0438\u0439 \u0446\u0438\u0440\u043a, \u0410\u0431\u0431\u0430\u0442\u0441\u0442\u0432\u043e \u0438 \u043c\u044d\u0440, \u0411\u0430\u0448\u043d\u044f)"", ""Price"": ""4200"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u0418\u0433\u0440\u0430 \u0428\u0430\u0440\u043b\u0430\u0442\u0430\u043d\u044b \u0438\u0437 \u041a\u0432\u0435\u0434\u043b\u0438\u043d\u0431\u0443\u0440\u0433\u0430: \u0410\u043b\u0445\u0438\u043c\u0438\u043a\u0438 (\u0434\u043e\u043f\u043e\u043b\u043d\u0435\u043d\u0438\u0435)"", ""Price"": ""1950"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u0418\u0433\u0440\u0430 Marvel Zombies: Heroes' Resistance"", ""Price"": ""8000"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u0418\u0433\u0440\u0430 Paleo \u0441 \u0434\u043e\u043f\u043e\u043b\u043d\u0435\u043d\u0438\u044f\u043c\u0438 (\u041d\u043e\u0432\u043e\u0435 \u043d\u0430\u0447\u0430\u043b\u043e, \u0423\u0436\u0430\u0441\u043d\u044b\u0435 \u043f\u0442\u0438\u0446\u044b \u0438 \u041e\u0431\u0440\u044f\u0434 \u043f\u043e\u0441\u0432\u044f\u0449\u0435\u043d\u0438\u044f)"", ""Price"": ""4500"", ""Currency"": ""RUB"", ""Count"": ""1""}]",4
"Ожерелье с подвеской солнце 
Цена: 130р 
Цена От 10шт - 100р 
Распродажа 
Тц Корпус-А 2в-85 
https://vk.com/the_top_sadovod","[{""Title"": ""\u041e\u0436\u0435\u0440\u0435\u043b\u044c\u0435 \u0441 \u043f\u043e\u0434\u0432\u0435\u0441\u043a\u043e\u0439 \u0441\u043e\u043b\u043d\u0446\u0435, \u043e\u043f\u0442\u043e\u0432\u0430\u044f \u0446\u0435\u043d\u0430"", ""Price"": ""1000"", ""Currency"": ""RUB"", ""Count"": ""10""}, {""Title"": ""\u041e\u0436\u0435\u0440\u0435\u043b\u044c\u0435 \u0441 \u043f\u043e\u0434\u0432\u0435\u0441\u043a\u043e\u0439 \u0441\u043e\u043b\u043d\u0446\u0435"", ""Price"": ""130"", ""Currency"": ""RUB"", ""Count"": ""1""}]",2
"фильтр барьер новый, цвет белый, форма круглая в комплекте один картридж. 65 лари","[{""Title"": ""\u0444\u0438\u043b\u044c\u0442\u0440 \u0431\u0430\u0440\u044c\u0435\u0440 \u043d\u043e\u0432\u044b\u0439 \u0441 \u043e\u0434\u043d\u0438\u043c \u043a\u0430\u0440\u0442\u0440\u0438\u0434\u0436\u0435\u043c"", ""Price"": ""65"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"отдам почти даром за символические 20 евро, б/у горнолыжный шлем dainese среднего размера, черный с бордовым. лимассол","[{""Title"": ""\u0431/\u0443 \u0433\u043e\u0440\u043d\u043e\u043b\u044b\u0436\u043d\u044b\u0439 \u0448\u043b\u0435\u043c dainese \u0441\u0440\u0435\u0434\u043d\u0435\u0433\u043e \u0440\u0430\u0437\u043c\u0435\u0440\u0430, \u0447\u0435\u0440\u043d\u044b\u0439 \u0441 \u0431\u043e\u0440\u0434\u043e\u0432\u044b\u043c"", ""Price"": ""20"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"Подушка, велюр
Цена: 200руб
Распродажа
Без выбора цвета
Тц корпус А  1Б-47","[{""Title"": ""\u041f\u043e\u0434\u0443\u0448\u043a\u0430, \u0432\u0435\u043b\u044e\u0440"", ""Price"": ""200"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
"финский собачий плащ rukka 
новый, размер на этикетке
25€ лимассол","[{""Title"": ""\u0444\u0438\u043d\u0441\u043a\u0438\u0439 \u0441\u043e\u0431\u0430\u0447\u0438\u0439 \u043f\u043b\u0430\u0449 rukka"", ""Price"": ""25"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"продаётся камера nikon 3200 линза 18-55mm
спецификации камеры:
 - 24mp cmos sensor
 - iso 100-6400 (plus iso 12,800-equivalent hi1 setting)
 - expeed 3 processing
 - 3.0"", 920k dot screen
 - full hd 1080p30 video (with 25p and 24p options)
 - microphone socket
 - twin ir remote receivers
 - 4 frame-per-second continuous shooting
 - guide mode

комплект:
 - камера
 - линза
 - сумка
 - провод для подключения к компу
 - пульт ду
 - зарядное устройство
 - uv фильтр с чехлом
 - башмак для проверки наклона
 - еще какие-то две штуки
 
 цена: 250 евро","[{""Title"": ""\u041a\u043e\u043c\u043f\u043b\u0435\u043a\u0442 Nikon 3200 \u0441 \u043b\u0438\u043d\u0437\u043e\u0439 18-55mm \u0438 \u0430\u043a\u0441\u0435\u0441\u0441\u0443\u0430\u0440\u0430\u043c\u0438"", ""Price"": ""250"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"привет!
продолжаем распродажу:
монитор dell p2419h
диагональ - 24 дюйма
состояние - новый
где - лимассол
цена - 160 евро
прекрасный выбор для домашнего офиса
в наличии больше 10 штук + рабочие места
ибп apc back-ups 850va 230v - 155 евро
гарнитура logitech h340 - 30 евро
вебкамера logitech c925e - 75 евро
пк hp prodesk 600 g6 desktop mini pc 1d2e3ea#abb - 820 евро
разумный торг уместен.
все абсолютно новое и на гарантии.","[{""Title"": ""\u0432\u0435\u0431\u043a\u0430\u043c\u0435\u0440\u0430 Logitech C925e"", ""Price"": ""75"", ""Currency"": ""EUR"", ""Count"": ""1""}, {""Title"": ""\u0418\u0411\u041f APC Back-UPS 850VA 230V"", ""Price"": ""155"", ""Currency"": ""EUR"", ""Count"": ""1""}, {""Title"": ""\u0433\u0430\u0440\u043d\u0438\u0442\u0443\u0440\u0430 Logitech H340"", ""Price"": ""30"", ""Currency"": ""EUR"", ""Count"": ""1""}, {""Title"": ""\u041f\u041a HP ProDesk 600 G6 Desktop Mini PC 1D2E3EA#ABB"", ""Price"": ""820"", ""Currency"": ""EUR"", ""Count"": ""1""}]",4
"Распродажа
Платье
Цена: 200р
Ткань: Лайт
Размер: 50-52-54-56-58
Без выбора цвета
АРТ: 2Д-87 корпус Б","[{""Title"": ""\u041f\u043b\u0430\u0442\u044c\u0435"", ""Price"": ""200"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
вешалка для одежды 70 лари,"[{""Title"": ""\u0432\u0435\u0448\u0430\u043b\u043a\u0430 \u0434\u043b\u044f \u043e\u0434\u0435\u0436\u0434\u044b"", ""Price"": ""70"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"здравствуйте. продам электронную книгу, 70 лари","[{""Title"": ""\u044d\u043b\u0435\u043a\u0442\u0440\u043e\u043d\u043d\u0430\u044f \u043a\u043d\u0438\u0433\u0430"", ""Price"": ""70"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
