Text,WallId,PostId,Source,GptResponse
"1. Классические лодочки на невысоком каблучке, Hogl, на размер 39,5-40. Натуральная замша, внутри нат.кожа. Б/у, в приличном состоянии. 900 руб.

2. Лодочки с ремешком на пятке (слимбэки), Respect, чернильного цвета, на размер 39,5-40. Натуральная кожа. Б/у считанные разы, состояние новых. 1900 руб.

Дмитров. ЛС",-82544098,642647,vk,"{
  ""place"": ""Дмитров. ЛС"",
  ""bundles"": [
    {
      ""name"": ""Классические лодочки Hogl на невысоком каблучке, размер 39,5-40"",
      ""quantity"": ""1"",
      ""price"": 900,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Лодочки с ремешком на пятке Respect, чернильного цвета, размер 39,5-40"",
      ""quantity"": ""1"",
      ""price"": 1900,
      ""currency"": ""RUB""
    }
  ]
}"
"комод 83×83×40, колосси самовывоз, 35 евро",1121942433,255015,tg,"{
  ""place"": ""колосси самовывоз"",
  ""bundles"": [
    {
      ""name"": ""комод"",
      ""quantity"": ""1"",
      ""price"": 35,
      ""currency"": ""EUR""
    }
  ]
}"
"кубик рубика, б/у. 
лимассол, 5€.",1121942433,652847,tg,"{
  ""place"": ""лимассол"",
  ""bundles"": [
    {
      ""name"": ""кубик рубика, б/у"",
      ""quantity"": ""1"",
      ""price"": 5,
      ""currency"": ""EUR""
    }
  ]
}"
katrom12 нарушил правила чата и не сможет писать до 17.10.2023 16:24:13. правила чатов,1332882905,691243,tg,{}
"Лежанка для собак среднего и мелкого размера, для кошек. Размер 60*40*12. Мебельная ткань антикоготь, гипоаллергенный наполнитель. Подушка вынимается, можно стирать на деликатном режиме в машинке. Совершенно новая, цена 1000.

#БД_мебель",-82544098,633113,vk,"{
  ""place"": null,
  ""bundles"": [
    {
      ""name"": ""Лежанка для собак среднего и мелкого размера, для кошек"",
      ""quantity"": ""1"",
      ""price"": 1000,
      ""currency"": ""RUB""
    }
  ]
}"
"Метро Калужская/Беляево

1 фото:

Женский свитер, принт леопард. 400₽
Размер S
Состояние хорошее, был в пользовании пару раз

2 фото:

Женская толстовка с капюшоном 400₽
Размер М
Состояние хорошее, была в пользовании пару раз

3фото:

Женский укороченный свитер 400₽
Размер S
Состояние идеальное, был в носке 1 раз

4 фото:

Свитер Женский Н&М. 500₽
52% шерсть, размер М

5 фото:

Женская жилетка, принт «гусиная лапка». 400₽
Размер S-M
Состояние хорошее
Длинна по спине 59 см",-48332904,724749,vk,"{
  ""place"": ""Метро Калужская/Беляево"",
  ""bundles"": [
    {
      ""name"": ""Женский свитер с принтом леопард"",
      ""quantity"": ""1"",
      ""price"": 400,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Женская толстовка с капюшоном"",
      ""quantity"": ""1"",
      ""price"": 400,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Женский укороченный свитер"",
      ""quantity"": ""1"",
      ""price"": 400,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Свитер Женский H&M"",
      ""quantity"": ""1"",
      ""price"": 500,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Женская жилетка с принтом гусиная лапка"",
      ""quantity"": ""1"",
      ""price"": 400,
      ""currency"": ""RUB""
    }
  ]
}"
"всем привет! 
1)30 лари
носить можно с ремнём, можно без

2)кардиган, италия 
s-m
30 лари

3)белые штаны
состояние отличное, как новые
30 лари

4)леопардовая шуба 
s-m
50 лари
почти новая

5)белый пиджак 
хорошее состояние 
s-m
50 лари",1332882905,358855,tg,"{
  ""bundles"": [
    {
      ""name"": ""кардиган, италия"",
      ""quantity"": ""1"",
      ""price"": 30,
      ""currency"": ""лари""
    },
    {
      ""name"": ""белые штаны"",
      ""quantity"": ""1"",
      ""price"": 30,
      ""currency"": ""лари""
    },
    {
      ""name"": ""леопардовая шуба"",
      ""quantity"": ""1"",
      ""price"": 50,
      ""currency"": ""лари""
    },
    {
      ""name"": ""белый пиджак"",
      ""quantity"": ""1"",
      ""price"": 50,
      ""currency"": ""лари""
    }
  ]
}"
"Продаю компьютер Цена 55000 Все почти новое ,есть чеки и коробки от комплектующих. Характеристики: ⚙️Материнская плата - GIGABYTE B450M H ⚙️Процессор - AMD Ryzen 5 3600 ⚙️Видеокарта - GIGABYTE RADEON RX 580 на 8 GB ⚙️Оперативная память - KINGSTON FYRY 16 GB (2x8GB) DDR4 2666 МГц ⚙️SSD Kingston 480 GB SSD GIGABYTE 120 GB ⚙️Блок питания - SYSTEM POWER 9 500W ⚙️Кулер для процессора - DeepCool ICE BLADE 100 ⚙️Корпус AeroCool с подстветкой Так же к компьютеру: - Монитор. Диагональ 27 «есть дефект ,полоса на экране , на работоспособность не влияет» - Игровая мышка от Logitech, игровая клавиатура MSI, наушники Logitech G435 , коврик и колонки - Продаю компьютер брата, по причине переезда",-90442795,353383,vk,"{
  ""place"": ""не указано"",
  ""bundles"": [
    {
      ""name"": ""Компьютер с комплектующими и аксессуарами"",
      ""quantity"": ""1"",
      ""price"": 55000,
      ""currency"": ""RUB""
    }
  ]
}"
"форма для выпечки диаметр 18 см, сковорода с крышкой -20 см. в хор.состоянии.лимассол. 6€. бронь",1121942433,306259,tg,"{
  ""place"": ""Лимассол"",
  ""bundles"": [
    {
      ""name"": ""форма для выпечки и сковорода с крышкой"",
      ""quantity"": ""2"",
      ""price"": 6,
      ""currency"": ""EUR""
    }
  ]
}"
"бронь.качественные силиконовые формы для тортов и пирожных, кольца кондитерские, и целая коробка всякой всячины для приготовления тортов. 10 евро. лимассол",1121942433,655395,tg,"{
  ""place"": ""лимассол"",
  ""bundles"": [
    {
      ""name"": ""набор для приготовления тортов и пирожных"",
      ""quantity"": ""1"",
      ""price"": 10,
      ""currency"": ""EUR""
    }
  ]
}"
"молокоотсос medela. куплен в babyplanet 11 июня, использовался около 2 недель. гарантия по чеку ещё почти 2 года (чек в наличии, 185 евро). работает как от сети, так и от батареек. состояние отличное. цена 130 евро, лимасол, неаполис.",1121942433,363655,tg,"{
  ""place"": ""лимасол, неаполис"",
  ""bundles"": [
    {
      ""name"": ""молокоотсос medela"",
      ""quantity"": ""1"",
      ""price"": 130,
      ""currency"": ""EUR""
    }
  ]
}"
"продам набор открыток (14 штук). идеальное состояние. произведено в ленинграде, ссср, 1979 год. 20€ за все. лимассол.",1121942433,339645,tg,"{
  ""place"": ""Лимассол"",
  ""bundles"": [
    {
      ""name"": ""набор открыток, произведено в Ленинграде, СССР, 1979 год"",
      ""quantity"": ""14"",
      ""price"": 20,
      ""currency"": ""EUR""
    }
  ]
}"
"Продам xbox 360, цена 10000р.",-90442795,353237,vk,"{
    ""place"": """",
    ""bundles"": [
        {
            ""name"": ""xbox 360"",
            ""quantity"": ""1"",
            ""price"": 10000,
            ""currency"": ""RUB""
        }
    ]
}"
"Женские набор для сауны
Цена: 350р руб
Распродажа
Ткань: Махра хлопок
Размер килт: 46-54.
Размер чалма: 30*50см
Тц корпус Б 2Д-58 
https://vk.com/yusroo",-206817857,99822,vk,"{
  ""place"": ""Тц корпус Б 2Д-58"",
  ""bundles"": [
    {
      ""name"": ""Женский набор для сауны"",
      ""quantity"": ""1"",
      ""price"": 350,
      ""currency"": ""RUB""
    }
  ]
}"
"чехол для штатива
длина сантиметров 40-45, есть длинный ремешок
20 лари
дигоми",1332882905,626376,tg,"{
  ""place"": ""дигоми"",
  ""bundles"": [
    {
      ""name"": ""чехол для штатива"",
      ""quantity"": ""1"",
      ""price"": 20,
      ""currency"": ""лари""
    }
  ]
}"
"Распродажа 
Ткань: джинс 
Цена: 300р
Размер: 48-50-52-54-56-58
Арт: 24-108",-206817857,79844,vk,"{
  ""place"": null,
  ""bundles"": [
    {
      ""name"": ""Ткань джинс"",
      ""quantity"": ""1"",
      ""price"": 300,
      ""currency"": ""RUB""
    }
  ]
}"
"Кожаные леггинсы с начёсом
Цена: 350р 
Цена уп 12шт*300р
Распродажа 
Размеры: 40/42/44/46/48/50/52/54
Линия 22 павильон 11
https://vk.com/id529025796",-206817857,123871,vk,"{
  ""place"": ""Линия 22 павильон 11"",
  ""bundles"": [
    {
      ""name"": ""Кожаные леггинсы с начёсом"",
      ""quantity"": ""1"",
      ""price"": 350,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Кожаные леггинсы с начёсом, упаковка 12 штук"",
      ""quantity"": ""12"",
      ""price"": 3600,
      ""currency"": ""RUB""
    }
  ]
}"
"Тушь для ресниц  с блестками 6 гр  (серебро)
Цена: 99р
распродажа 
тц корпус Б 2-3-11А",-206817857,120082,vk,"{
  ""place"": ""тц корпус Б 2-3-11А"",
  ""bundles"": [
    {
      ""name"": ""Тушь для ресниц с блестками (серебро)"",
      ""quantity"": ""6 гр"",
      ""price"": 99,
      ""currency"": ""RUB""
    }
  ]
}"
"продам блендер абсолютно новый
за 250 лари 
покупали за 400
цена окончательная",1332882905,359305,tg,"{
  ""bundles"": [
    {
      ""name"": ""блендер абсолютно новый"",
      ""quantity"": ""1"",
      ""price"": 250,
      ""currency"": ""GEL""
    }
  ]
}"
"ниссан 1.1сс мотор ручная коробка
2009 год 
с маленьким пробегом 44 миль 76тыс км
мот дорожный налог оплаче 
очень экономная, 
мотор в отличном состояние 
пройден полный сервис ! 
без нарекании!
4 новые резины!
любой осмотр у вашего механика! 
пафос 99029918
3600 💶 евро",1121942433,686408,tg,"{
  ""place"": ""Пафос"",
  ""bundles"": [
    {
      ""name"": ""Ниссан 2009 года с маленьким пробегом и ручной коробкой"",
      ""quantity"": ""1"",
      ""price"": 3600,
      ""currency"": ""EUR""
    }
  ]
}"
"47000р
Проц core i5 10400f новое на гарантии ( 1 год) 
Башня для проца новое на гарантии (1 год) 
Материнка h470m новое на гарантии (3 года) 
RTX 2060 super 8 gb пломба на месте проходит все тесты на ура 
Оперативка 16gb DDR4 2666новое на гарантии (10 лет) 
SSD M. 2 512Gb( скорость в два раза выше чем у обычного ssd) новое на гарантии ( 3 года) 
Блок питания 450W 80+ новое на гарантии ( 5 лет) 
Обмена нет. 
Дурбана нет.",-48332904,708904,vk,"{
  ""place"": null,
  ""bundles"": [
    {
      ""name"": ""Игровой компьютерный набор"",
      ""quantity"": ""1"",
      ""price"": 47000,
      ""currency"": ""RUB""
    }
  ]
}"
"добрый день. 
куплю машину, модели с большим багажником (необходимо перевозить инвалидное кресло). коробка автомат.
toyota rav4, nissan x-trail, subaru forester.
бюджет 10000€",1121942433,223118,tg,"{
    ""place"": null,
    ""bundles"": []
}"
"теплый свитер medooza
в отличном состоянии 
размер м 
50% шерсть, 50% акрил
25 лари 
ваке, недалеко от круглого сада",1332882905,807419,tg,"{
  ""place"": ""ваке, недалеко от круглого сада"",
  ""bundles"": [
    {
      ""name"": ""теплый свитер medooza"",
      ""quantity"": ""1"",
      ""price"": 25,
      ""currency"": ""GEL""
    }
  ]
}"
"Продаю. 
Кабель витая пара марки ITK F/UTP кат.5E 4x2x24AWG SOLID LSZH. 
Состояние - новый, остаток - 67 м. 
Одинцово + окрестности, Москва 
Стоимость - 50 руб. за 1 м 
Покупай всё будет скидка)",-48332904,729363,vk,"{
  ""place"": ""Одинцово + окрестности, Москва"",
  ""bundles"": [
    {
      ""name"": ""Кабель витая пара марки ITK F/UTP кат.5E 4x2x24AWG SOLID LSZH"",
      ""quantity"": ""67 м"",
      ""price"": 3350,
      ""currency"": ""RUB""
    }
  ]
}"
"холодильник для тусовочек/машины «tzs first austria»

работает от розетки/прикуривателя в машине 

долго держит холод без подключения к сети 

24 литра

использовали 1 раз (брали с собой на пляжик)

коробка инструкция 

брали за 80€

отдаём за 40€

лимассол центр

торг",1121942433,375274,tg,"{
  ""place"": ""лимассол центр"",
  ""bundles"": [
    {
      ""name"": ""холодильник для тусовочек/машины «tzs first austria»"",
      ""quantity"": ""24 литра"",
      ""price"": 40,
      ""currency"": ""EUR""
    }
  ]
}"
"Распродажа
Цена: 1100р
Цена уп 5×1000р
Размер: 104-110-116- 122-128см
Температура: -5 градусов 
Арт: 26-05
https://vk.com/club211867360",-206817857,67036,vk,"{
  ""place"": null,
  ""bundles"": [
    {
      ""name"": ""Распродажа одежды для детей размеры 104-128 см, температура -5 градусов"",
      ""quantity"": ""5"",
      ""price"": 5000,
      ""currency"": ""RUB""
    }
  ]
}"
"1. Шелковые брюки, не носили совсем, только этикетки отрезали, размер 42-44., цена 500 руб
2.Спортивные женские брюки, не носили, размер 42, цена 300руб
3. Яркий топ, размер 44, цена 300руб,
4. Балетки кожаные, фирма Терволина, носили совсем чуть-чуть, только в помещении, размер 37, потерялась 1 бусинка, цена 500 руб.
5. Босоножки кожаные, очень удобные, размер 37, цена 400 руб
6. Лоферы, натуральная лаковая кожа,  цена 500 руб
7. Раздвижные ролики, покупались в спортмастере, качество отличное, в использовании были очень мало, размер с 31-34, в подарок - защита (локти, колени), в магазине цена на них от 2600руб.
Пишите в личку, пожалуйста.

#БД_одежда #БД_обувь",-82544098,649476,vk,"{
  ""place"": ""Пишите в личку, пожалуйста."",
  ""bundles"": [
    {
      ""name"": ""Шелковые брюки"",
      ""quantity"": ""1"",
      ""price"": 500,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Спортивные женские брюки"",
      ""quantity"": ""1"",
      ""price"": 300,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Яркий топ"",
      ""quantity"": ""1"",
      ""price"": 300,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Балетки кожаные фирмы Терволина"",
      ""quantity"": ""1"",
      ""price"": 500,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Босоножки кожаные"",
      ""quantity"": ""1"",
      ""price"": 400,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Лоферы из натуральной лаковой кожи"",
      ""quantity"": ""1"",
      ""price"": 500,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Раздвижные ролики с защитой (локти, колени)"",
      ""quantity"": ""1"",
      ""price"": 2600,
      ""currency"": ""RUB""
    }
  ]
}"
"чехол для айфоновских наушников 1,2 за вкусняшку;) лимассол",1121942433,427581,tg,"{
  ""place"": ""лимассол"",
  ""bundles"": []
}"
"пылесос, состояние 9/10,  50 евро. лимассол",1121942433,658373,tg,"{
  ""place"": ""лимассол"",
  ""bundles"": [
    {
      ""name"": ""пылесос"",
      ""quantity"": ""1"",
      ""price"": 50,
      ""currency"": ""EUR""
    }
  ]
}"
"Здравствуйте! 
ПРОДАЮ: 
Детский спорткомплекс, выс. 2,35 - 3,20 + Турник для ДСК съемный, стоимость: 4000 руб. 
Пишите в л/с.

#БД_детское",-82544098,633754,vk,"{
  ""place"": """",
  ""bundles"": [
    {
      ""name"": ""Детский спорткомплекс с съемным турником"",
      ""quantity"": ""1"",
      ""price"": 4000,
      ""currency"": ""RUB""
    }
  ]
}"
"#БНИ_ПродамНовое_СанктПетербург 
#БНИ_Авито 
#БНИ_Боксберри 
#БНИ_СДЭК 
#БНИ_larrochar / #БНИ_id88909

✅ La Famiglia: The Great Mafia War - 9500 рублей
Новая в плёнке. Переоценил возможности играть в неё в дуэльном режиме, полный состав ещё очень нескоро смогу собрать. Считаю одной из лучших игр, побывавших в моих руках.

✅ Ahoy - 4000 рублей
Новая в плёнке. Варгейм. За это качество и вынужден продать - основной оппонент, как выяснилось, не любит ""злые"" игры.

✅ Обет + делюкс-компоненты + оригинальные протекторы - 12000 рублей
Новая без плёнки. Жетоны не выдавлены, карты не распечатаны, делюкс-компоненты и протекторы закинул после покупки в коробку, так оно и стоит. Ещё одна ""злая"" игра, которая сможет понравится в ячейке только мне. :)

Авито: + 5% к цене. Доставка за счёт покупателя.",-114967596,591083,vk,"{
  ""place"": ""Санкт-Петербург"",
  ""bundles"": [
    {
      ""name"": ""La Famiglia: The Great Mafia War"",
      ""quantity"": ""1"",
      ""price"": 9500,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Ahoy"",
      ""quantity"": ""1"",
      ""price"": 4000,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Обет + делюкс-компоненты + оригинальные протекторы"",
      ""quantity"": ""1"",
      ""price"": 12000,
      ""currency"": ""RUB""
    }
  ]
}"
"кроссовки nike air force 1 react original . 41-41,5 размер . состояние видно на фото. 100 gel
забирать с ⓜ️ахметели театр",1332882905,351588,tg,"{
  ""place"": ""ⓜ️ахметели театр"",
  ""bundles"": [
    {
      ""name"": ""кроссовки nike air force 1 react original"",
      ""quantity"": ""1"",
      ""price"": 100,
      ""currency"": ""GEL""
    }
  ]
}"
"продам обувь 👟

кроссовки  reebok club c 85 shoes — 100 лари
- размер 7.5 us / 40 eu / 25.5cm
- бу 2 летних сезона
- в хорошем состоянии
- 100 лари

кеды  vans sk8-hi — 180 лари
- размер 7.5 us / 40 eu / 25.5cm
- бу 3 месяца
- в хорошем состоянии
- 180 лари",1332882905,773929,tg,"{
  ""place"": null,
  ""bundles"": [
    {
      ""name"": ""кроссовки Reebok Club C 85"",
      ""quantity"": ""1"",
      ""price"": 100,
      ""currency"": ""GEL""
    },
    {
      ""name"": ""кеды Vans Sk8-Hi"",
      ""quantity"": ""1"",
      ""price"": 180,
      ""currency"": ""GEL""
    }
  ]
}"
"Диван раскладной «МЯГКОФФ» 
8000 (договоримся) 
Новый был 35
Зеленоград, ближайшая станция М.Ховрино
самовывоз 
 За доп.фото в личные сообщения",-48332904,743692,vk,"{
  ""place"": ""Зеленоград, ближайшая станция М.Ховрино, самовывоз"",
  ""bundles"": [
    {
      ""name"": ""Диван раскладной «МЯГКОФФ»"",
      ""quantity"": ""1"",
      ""price"": 8000,
      ""currency"": ""RUB""
    }
  ]
}"
"Продаю зимнюю кожаную куртку с мехом чернобурки. Имеет просторный, теплый и приятный капюшон с мехом чернобурки, который поможет вам согреться в любую холодную погоду. Также, у нее можно отстегнуть рукава и получится отличная и стильная безрукавка. Носила один раз в виде безрукавки. Куртка в отличном состоянии 44 размера. Покупала за 35 000 рублей. Продаю за 15 000 рублей, так как срочно нужны деньги. Станет отличным подарком как для себя, так и для близких^^
#барахолка #барахолка@networksales #продам #объявления #товары #спб",-1485,195437,vk,"{
  ""place"": ""СПб"",
  ""bundles"": [
    {
      ""name"": ""Зимняя кожаная куртка с мехом чернобурки, 44 размер"",
      ""quantity"": ""1"",
      ""price"": 15000,
      ""currency"": ""RUB""
    }
  ]
}"
"металлическая кладовка ручной работы. 
параметры указаны на фото . 
ширина 1.10 см. 
в подарок металлическая полка .  
цена €550.
город пафос, тала.",1121942433,344308,tg,"{
  ""place"": ""город пафос, тала"",
  ""bundles"": [
    {
      ""name"": ""металлическая кладовка ручной работы с металлической полкой"",
      ""quantity"": ""1"",
      ""price"": 550,
      ""currency"": ""EUR""
    }
  ]
}"
"корона новая, ручная работа. 
цена-20€
лимассол",1121942433,200873,tg,"{
  ""place"": ""лимассол"",
  ""bundles"": [
    {
      ""name"": ""корона новая, ручная работа"",
      ""quantity"": ""1"",
      ""price"": 20,
      ""currency"": ""EUR""
    }
  ]
}"
"Цена 300р 
распродажа 
Размер : 134-140-146-152-158 
Без выбора цвета
линия 30 павильон 14",-206817857,121072,vk,"{
  ""place"": ""линия 30 павильон 14""
}"
"Лосины
Цена: 150руб
Распродажа
Размеры: 40,42,44,46,48,50,52
Выбор цвета: без выбора цвета
Материал: трикотаж, хлопок
Тц корпус А 1Б-79А",-206817857,93518,vk,"{
  ""place"": ""Тц корпус А 1Б-79А"",
  ""bundles"": [
    {
      ""name"": ""Лосины"",
      ""quantity"": ""1"",
      ""price"": 150,
      ""currency"": ""RUB""
    }
  ]
}"
